"execution_queued","execution_running","execution_succeeded__execution_id","execution_succeeded__runtime_seconds","execution_succeeded__generated_at","execution_succeeded__columns","execution_succeeded__data__time","execution_succeeded__data__name","execution_succeeded__data__moving_ltv","execution_succeeded__data__moving_rate","execution_failed"
"null","null","01H0K0C7V23KWEN3Y3WVKYDMSK","21","2023-05-16T19:25:36.617041Z","time","2023-05-16 18:00:00.000 UTC","MutantApeYachtClub","0.862372190551125","0.6536405399975063","null"
"","","","","","name","2023-05-16 17:00:00.000 UTC","DeGods","0.7291461187748928","0.26757369614512466",""
"","","","","","moving_ltv","2023-05-16 17:00:00.000 UTC","MutantApeYachtClub","0.8615762740788498","0.656613505719318",""
"","","","","","moving_rate","2023-05-16 17:00:00.000 UTC","Azuki","0.7496687648210327","0.028653885796742988",""
"","","","","","","2023-05-16 17:00:00.000 UTC","Milady","0.6830146026038476","0.2906556252733928",""
"","","","","","","2023-05-16 16:00:00.000 UTC","Azuki","0.7492235636840731","0.028653885796742988",""
"","","","","","","2023-05-16 16:00:00.000 UTC","Milady","0.6850068516484712","0.2906556252733928",""
"","","","","","","2023-05-16 16:00:00.000 UTC","DeGods","0.7299772844178846","0.26757369614512466",""
"","","","","","","2023-05-16 16:00:00.000 UTC","Bored Ape Yacht Club","0.8715797129620442","0.1388888888888889",""
"","","","","","","2023-05-16 16:00:00.000 UTC","MutantApeYachtClub","0.8629865277643586","0.687880815515476",""
"","","","","","","2023-05-16 15:00:00.000 UTC","Azuki","0.7512002412939136","0.028653885796742988",""
"","","","","","","2023-05-16 15:00:00.000 UTC","MutantApeYachtClub","0.8597529801368285","0.5139415229579164",""
"","","","","","","2023-05-16 15:00:00.000 UTC","Milady","0.6889617141663065","0.2906556252733928",""
"","","","","","","2023-05-16 14:00:00.000 UTC","DeGods","0.7327603702909248","0.26757369614512466",""
"","","","","","","2023-05-16 14:00:00.000 UTC","Milady","0.6788520954914282","0.2906556252733928",""
"","","","","","","2023-05-16 14:00:00.000 UTC","Azuki","0.7589378899940863","0.028653885796742988",""
"","","","","","","2023-05-16 13:00:00.000 UTC","Milady","0.6805203844344386","0.2906556252733928",""
"","","","","","","2023-05-16 13:00:00.000 UTC","Azuki","0.7612374088414896","0.028086992372706704",""
"","","","","","","2023-05-16 13:00:00.000 UTC","MutantApeYachtClub","0.8565764402174039","0.5409910767978068",""
"","","","","","","2023-05-16 13:00:00.000 UTC","DeGods","0.7322000684006993","0.26757369614512466",""
"","","","","","","2023-05-16 13:00:00.000 UTC","Bored Ape Yacht Club","0.8662348308390722","0.15151515151515152",""
"","","","","","","2023-05-16 12:00:00.000 UTC","DeGods","0.7308260243077559","0.26757369614512466",""
"","","","","","","2023-05-16 12:00:00.000 UTC","MutantApeYachtClub","0.8543629724759038","0.4460461366199071",""
"","","","","","","2023-05-16 12:00:00.000 UTC","Milady","0.6790641528754242","0.28361832759570105",""
"","","","","","","2023-05-16 11:00:00.000 UTC","DeGods","0.730387402254838","0.26757369614512466",""
"","","","","","","2023-05-16 11:00:00.000 UTC","Milady","0.6835158592115861","0.28361832759570105",""
"","","","","","","2023-05-16 10:00:00.000 UTC","DeGods","0.725488388190875","0.26757369614512466",""
"","","","","","","2023-05-16 10:00:00.000 UTC","Milady","0.6866662222696049","0.3244346541263133",""
"","","","","","","2023-05-16 10:00:00.000 UTC","MutantApeYachtClub","0.8514715245074452","0.47228414465637225",""
"","","","","","","2023-05-16 10:00:00.000 UTC","Wrapped Cryptopunks","0.782973933408098","0.40816326530612257",""
"","","","","","","2023-05-16 10:00:00.000 UTC","Azuki","0.7609099786211834","0.025834143181082",""
"","","","","","","2023-05-16 09:00:00.000 UTC","Milady","0.6878403274304331","0.3357725226070389",""
"","","","","","","2023-05-16 09:00:00.000 UTC","Bored Ape Yacht Club","0.8614086707826145","0.16666666666666669",""
"","","","","","","2023-05-16 09:00:00.000 UTC","MutantApeYachtClub","0.8483410186865277","0.5018019036973955",""
"","","","","","","2023-05-16 08:00:00.000 UTC","Milady","0.685109738151751","0.3357725226070389",""
"","","","","","","2023-05-16 08:00:00.000 UTC","MutantApeYachtClub","0.8498214563468621","0.5352553639438885",""
"","","","","","","2023-05-16 08:00:00.000 UTC","Bored Ape Yacht Club","0.8561417927932133","0.1851851851851852",""
"","","","","","","2023-05-16 07:00:00.000 UTC","Azuki","0.7643592021648478","0.032636864269517375",""
"","","","","","","2023-05-16 07:00:00.000 UTC","Bored Ape Yacht Club","0.8958882750622996","0.20833333333333334",""
"","","","","","","2023-05-16 07:00:00.000 UTC","Milady","0.6847587641930473","0.3323711620628212",""
"","","","","","","2023-05-16 07:00:00.000 UTC","MutantApeYachtClub","0.844488218320177","0.5020593185113091",""
"","","","","","","2023-05-16 06:00:00.000 UTC","Milady","0.6842036024185214","0.3323711620628212",""
"","","","","","","2023-05-16 06:00:00.000 UTC","MutantApeYachtClub","0.8393748217777348","0.4829869583967945",""
"","","","","","","2023-05-16 06:00:00.000 UTC","Wrapped Cryptopunks","0.7904009598074031","0.40816326530612257",""
"","","","","","","2023-05-16 06:00:00.000 UTC","Bored Ape Yacht Club","0.9028782647991903","0.2380952380952381",""
"","","","","","","2023-05-16 05:00:00.000 UTC","DeGods","0.7281621087826772","0.26757369614512466",""
"","","","","","","2023-05-16 05:00:00.000 UTC","Bored Ape Yacht Club","0.901905693441379","0.2777777777777778",""
"","","","","","","2023-05-16 05:00:00.000 UTC","Milady","0.6849352228551845","0.3435346017976895",""
"","","","","","","2023-05-16 05:00:00.000 UTC","MutantApeYachtClub","0.8438729641146302","0.5232358715965274",""
"","","","","","","2023-05-16 04:00:00.000 UTC","Milady","0.6869630286627368","0.3435346017976895",""
"","","","","","","2023-05-16 04:00:00.000 UTC","MutantApeYachtClub","0.8482024676214001","0.5708027690143935",""
"","","","","","","2023-05-16 04:00:00.000 UTC","Azuki","0.7677699141880387","0.032636864269517375",""
"","","","","","","2023-05-16 03:00:00.000 UTC","MutantApeYachtClub","0.8487652342847205","0.6278830459158329",""
"","","","","","","2023-05-16 03:00:00.000 UTC","Azuki","0.765007881247253","0.032636864269517375",""
"","","","","","","2023-05-16 03:00:00.000 UTC","Milady","0.6862045391198384","0.3353713364915671",""
"","","","","","","2023-05-16 03:00:00.000 UTC","DeGods","0.7297779670981891","0.26757369614512466",""
"","","","","","","2023-05-16 02:00:00.000 UTC","Milady","0.6877951018340545","0.33809242492694125",""
"","","","","","","2023-05-16 02:00:00.000 UTC","DeGods","0.7291760862614509","0.26757369614512466",""
"","","","","","","2023-05-16 02:00:00.000 UTC","MutantApeYachtClub","0.8452091362868356","0.6976478287953698",""
"","","","","","","2023-05-16 02:00:00.000 UTC","Azuki","0.7658805688730235","0.032636864269517375",""
"","","","","","","2023-05-16 02:00:00.000 UTC","Bored Ape Yacht Club","0.9143910708839801","0.33333333333333337",""
"","","","","","","2023-05-16 01:00:00.000 UTC","Milady","0.6875118672275946","0.33809242492694125",""
"","","","","","","2023-05-16 01:00:00.000 UTC","MutantApeYachtClub","0.8401064426557365","0.784853807394791",""
"","","","","","","2023-05-16 01:00:00.000 UTC","DeGods","0.7311257837649678","0.26757369614512466",""
"","","","","","","2023-05-16 00:00:00.000 UTC","MutantApeYachtClub","0.846847957294934","0.8969757798797612",""
"","","","","","","2023-05-16 00:00:00.000 UTC","DeGods","0.7288129404519292","0.29308390022675734",""
"","","","","","","2023-05-16 00:00:00.000 UTC","Bored Ape Yacht Club","0.8292222712459623","0.4166666666666667",""
"","","","","","","2023-05-15 23:00:00.000 UTC","DeGods","0.7295257716587115","0.29308390022675734",""
"","","","","","","2023-05-15 23:00:00.000 UTC","MutantApeYachtClub","0.8422324155316661","0.7686939654152769",""
"","","","","","","2023-05-15 23:00:00.000 UTC","Milady","0.6881393181916237","0.33720511348062354",""
"","","","","","","2023-05-15 22:00:00.000 UTC","MutantApeYachtClub","0.8540764448063136","0.9224327584983323",""
"","","","","","","2023-05-15 22:00:00.000 UTC","Milady","0.6896901777718507","0.33720511348062354",""
"","","","","","","2023-05-15 22:00:00.000 UTC","DeGods","0.7306243811490963","0.29308390022675734",""
"","","","","","","2023-05-15 21:00:00.000 UTC","Milady","0.6972853279092129","0.3823946178538014",""
"","","","","","","2023-05-15 21:00:00.000 UTC","MutantApeYachtClub","0.8694921825585592","1.1530409481229154",""
"","","","","","","2023-05-15 20:00:00.000 UTC","Milady","0.6980154191099317","0.3823946178538014",""
"","","","","","","2023-05-15 20:00:00.000 UTC","MutantApeYachtClub","0.8684168851227199","1.5373879308305538",""
"","","","","","","2023-05-15 20:00:00.000 UTC","Bored Ape Yacht Club","0.878277670072498","0.5555555555555556",""
"","","","","","","2023-05-15 19:00:00.000 UTC","Milady","0.6928306096081822","0.3823946178538014",""
"","","","","","","2023-05-15 19:00:00.000 UTC","Bored Ape Yacht Club","0.8811582994194691","0.8333333333333334",""
"","","","","","","2023-05-15 19:00:00.000 UTC","Azuki","0.7708536698924372","0.032636864269517375",""
"","","","","","","2023-05-15 19:00:00.000 UTC","MutantApeYachtClub","0.8785994911958168","1.4879000780640126",""
"","","","","","","2023-05-15 18:00:00.000 UTC","Azuki","0.7707790067628599","0.032636864269517375",""
"","","","","","","2023-05-15 18:00:00.000 UTC","MutantApeYachtClub","0.8824708179133153","2.737704918032787",""
"","","","","","","2023-05-15 18:00:00.000 UTC","DeGods","0.7307792431215023","0.29308390022675734",""
"","","","","","","2023-05-15 18:00:00.000 UTC","Bored Ape Yacht Club","0.8561460293727116","1.6666666666666667",""
"","","","","","","2023-05-15 18:00:00.000 UTC","Wrapped Cryptopunks","0.7965646352598261","0.40816326530612257",""
"","","","","","","2023-05-15 18:00:00.000 UTC","Milady","0.6887853771308792","0.3823946178538014",""
"","","","","","","2023-05-15 17:00:00.000 UTC","DeGods","0.730352503859495","0.29308390022675734",""
"","","","","","","2023-05-15 17:00:00.000 UTC","Milady","0.6898627573185324","0.3823946178538014",""
"","","","","","","2023-05-15 16:00:00.000 UTC","DeGods","0.7334788079855716","0.29308390022675734",""
"","","","","","","2023-05-15 16:00:00.000 UTC","Milady","0.6917793260414139","0.3823946178538014",""
"","","","","","","2023-05-15 16:00:00.000 UTC","Azuki","0.7760754321360763","0.032636864269517375",""
"","","","","","","2023-05-15 15:00:00.000 UTC","Milady","0.6920260291087498","0.3823946178538014",""
"","","","","","","2023-05-15 15:00:00.000 UTC","Wrapped Cryptopunks","0.7971362977502561","0.40816326530612257",""
"","","","","","","2023-05-15 14:00:00.000 UTC","DeGods","0.7353743308960464","0.29308390022675734",""
"","","","","","","2023-05-15 13:00:00.000 UTC","Azuki","0.7802664682747206","0.05712666018788472",""
"","","","","","","2023-05-15 13:00:00.000 UTC","DeGods","0.7329046009449632","0.29308390022675734",""
"","","","","","","2023-05-15 13:00:00.000 UTC","Milady","0.6870120462906029","0.2871565226157062",""
"","","","","","","2023-05-15 12:00:00.000 UTC","Azuki","0.780009260065303","0.06004211208292845",""
"","","","","","","2023-05-15 12:00:00.000 UTC","Milady","0.6918286210352614","0.2871565226157062",""
"","","","","","","2023-05-15 11:00:00.000 UTC","Azuki","0.7799278191779873","0.06004211208292845",""
"","","","","","","2023-05-15 11:00:00.000 UTC","Milady","0.6906203843445651","0.2313393239413646",""
"","","","","","","2023-05-15 11:00:00.000 UTC","DeGods","0.7448352177698708","0.29308390022675734",""
"","","","","","","2023-05-15 10:00:00.000 UTC","Azuki","0.7821065768535399","0.06004211208292845",""
"","","","","","","2023-05-15 09:00:00.000 UTC","Milady","0.6863238658211862","0.19868626271687484",""
"","","","","","","2023-05-15 08:00:00.000 UTC","DeGods","0.7482095895516332","0.31859410430838997",""
"","","","","","","2023-05-15 08:00:00.000 UTC","Milady","0.6843047805640133","0.19868626271687484",""
"","","","","","","2023-05-15 07:00:00.000 UTC","Azuki","0.7856519273290424","0.06004211208292845",""
"","","","","","","2023-05-15 07:00:00.000 UTC","Milady","0.6832104815000211","0.19868626271687484",""
"","","","","","","2023-05-15 06:00:00.000 UTC","Azuki","0.7878530794550754","0.06004211208292845",""
"","","","","","","2023-05-15 05:00:00.000 UTC","Milady","0.6840807582964548","0.19868626271687484",""
"","","","","","","2023-05-15 05:00:00.000 UTC","Azuki","0.7872405019933743","0.06004211208292845",""
"","","","","","","2023-05-15 05:00:00.000 UTC","DeGods","0.7519163307376275","0.31859410430838997",""
"","","","","","","2023-05-15 05:00:00.000 UTC","Wrapped Cryptopunks","0.8026454950438318","0.40816326530612257",""
"","","","","","","2023-05-15 04:00:00.000 UTC","Azuki","0.7812293234983689","0.06004211208292845",""
"","","","","","","2023-05-15 03:00:00.000 UTC","DeGods","0.7511742719321728","0.31859410430838997",""
"","","","","","","2023-05-15 03:00:00.000 UTC","Azuki","0.779850333618582","0.06004211208292845",""
"","","","","","","2023-05-15 03:00:00.000 UTC","Milady","0.6887435578399992","0.20957061645837144",""
"","","","","","","2023-05-15 02:00:00.000 UTC","Wrapped Cryptopunks","0.8130913435404554","0.5000000000000001",""
