,,,,,Date,AZUKI,BAYC,Cryptopunks,Doodles,ETH,MAYC
,,,,,Mar-23,4.29%,-31.54%,32.96%,-78.25%,-27.24%,-28.11%
,,,,,Mar-23,-3.25%,-31.34%,40.64%,-78.84%,-23.91%,-29.88%
,,,,,Mar-23,-3.99%,-30.51%,41.08%,-79.22%,-24.36%,-31.03%
,,,,,Mar-23,-5.48%,-30.61%,24.63%,-79.05%,-25.52%,-31.99%
,,,,,Mar-23,-14.14%,-32.89%,18.39%,-78.25%,-24.62%,-33.27%
,,,,,Mar-23,-16.24%,-34.22%,20.77%,-78.38%,-24.49%,-33.98%
,,,,,Mar-23,-17.04%,-36.97%,17.07%,-78.75%,-24.20%,-35.39%
,,,,,Mar-23,-18.08%,-38.69%,11.61%,-79.43%,-24.44%,-36.64%
,,,,,Mar-23,-18.82%,-37.41%,11.41%,-80.59%,-26.49%,-37.24%
,,,,,Mar-23,-16.35%,-36.98%,15.11%,-80.72%,-25.82%,-37.79%
,,,,,Mar-23,-15.55%,-35.75%,18.96%,-80.54%,-26.06%,-37.91%
,,,,,Mar-23,-13.97%,-34.18%,23.80%,-80.76%,-26.80%,-37.16%
,,,,,Mar-23,-13.33%,-33.46%,23.80%,-80.89%,-24.25%,-36.16%
,,,,,Mar-23,-16.37%,-34.07%,22.74%,-81.34%,-24.62%,-34.53%
,,,,,Mar-23,-14.63%,-32.58%,21.81%,-81.82%,-23.45%,-32.77%
,,,,,Apr-23,-14.49%,-32.06%,21.81%,-81.85%,-23.40%,-31.72%
,,,,,Apr-23,-13.49%,-31.97%,13.28%,-81.93%,-23.71%,-31.34%
,,,,,Apr-23,-12.02%,-30.59%,13.28%,-82.09%,-24.27%,-31.36%
,,,,,Apr-23,-12.69%,-32.05%,17.03%,-82.24%,-21.74%,-31.53%
,,,,,Apr-23,-5.32%,-33.08%,11.43%,-82.58%,-19.93%,-32.02%
,,,,,Apr-23,-6.24%,-34.08%,13.30%,-83.09%,-21.04%,-31.92%
,,,,,Apr-23,-2.96%,-35.96%,9.50%,-83.59%,-21.77%,-32.41%
,,,,,Apr-23,0.76%,-36.89%,8.78%,-84.07%,-21.59%,-32.33%
,,,,,Apr-23,-2.04%,-36.41%,9.52%,-84.18%,-22.11%,-32.22%
,,,,,Apr-23,2.65%,-35.27%,9.52%,-83.76%,-21.32%,-32.37%
,,,,,Apr-23,-0.05%,-34.69%,9.52%,-83.91%,-19.54%,-31.74%
,,,,,Apr-23,-1.33%,-35.13%,9.52%,-84.02%,-20.00%,-31.68%
,,,,,Apr-23,-1.46%,-37.18%,5.74%,-84.05%,-15.95%,-32.14%
,,,,,Apr-23,-3.96%,-39.83%,4.82%,-84.62%,-11.48%,-32.97%
,,,,,Apr-23,-0.92%,-40.98%,4.63%,-84.91%,-11.92%,-34.86%
,,,,,Apr-23,-0.34%,-41.28%,0.08%,-85.20%,-11.63%,-36.37%
,,,,,Apr-23,-1.88%,-41.34%,0.47%,-85.32%,-12.19%,-37.45%
,,,,,Apr-23,2.09%,-41.02%,-0.85%,-85.48%,-12.01%,-38.46%
,,,,,Apr-23,4.45%,-41.80%,-3.68%,-85.62%,-13.18%,-38.87%
,,,,,Apr-23,3.37%,-43.31%,-5.55%,-85.88%,-17.98%,-39.58%
,,,,,Apr-23,3.81%,-45.30%,-12.56%,-86.75%,-19.15%,-41.91%
,,,,,Apr-23,-0.36%,-46.49%,-2.76%,-87.08%,-21.29%,-43.53%
,,,,,Apr-23,-4.73%,-46.28%,-5.59%,-86.97%,-21.64%,-44.02%
,,,,,Apr-23,-5.03%,-45.73%,-5.59%,-86.88%,-22.22%,-44.49%
,,,,,Apr-23,-7.03%,-39.47%,-5.59%,-86.60%,-22.93%,-43.38%
,,,,,Apr-23,-6.97%,-38.42%,0.00%,-86.63%,-19.39%,-43.18%
,,,,,Apr-23,-6.90%,-36.95%,1.91%,-86.70%,-19.89%,-43.43%
,,,,,Apr-23,-7.69%,-36.73%,1.04%,-86.63%,-20.01%,-43.92%
,,,,,Apr-23,-7.15%,-42.32%,1.04%,-86.03%,-20.08%,-43.94%
,,,,,Apr-23,-6.80%,-44.16%,1.04%,-85.29%,-20.03%,-43.92%
