TIME,PROJECT_NAME,WEEKLY_AVG_ROYALTY,WEEKLY_AVG_VOLUME,WEEKLY_AVG_RATE
2022-08-01 00:00:00.000,pudgypenguins,212432.356371704,6213634.75834198,3.33494256
2022-08-01 00:00:00.000,meebits,45520.280203192,271679310.819679,0.02700242388
2022-08-01 00:00:00.000,clone x,2198644.29803543,48124954.8510614,4.111980911
2022-07-01 00:00:00.000,wrapped cryptopunks,0,64956.168878797,0
2022-07-01 00:00:00.000,meebits,25507.399894169,299941498.188488,0.01006855297
2022-07-01 00:00:00.000,clone x,2550680.63047358,54982110.4214576,4.300722886
2022-07-01 00:00:00.000,azuki,4465300.81207805,90282833.3877885,4.786522456
2022-07-01 00:00:00.000,mutantapeyachtclub,3211526.14937816,131262730.476499,2.353347454
2022-07-01 00:00:00.000,boredapeyachtclub,3842736.13756072,158122746.150258,2.292070927
2022-07-01 00:00:00.000,pudgypenguins,164332.807155076,5334543.3117737,3.148078352
2022-07-01 00:00:00.000,cryptopunks,27755.50159751,1168791.6681789,2.281208636
2022-06-01 00:00:00.000,azuki,5497461.43583289,110844778.41665,4.935685475
2022-06-01 00:00:00.000,mutantapeyachtclub,3891612.50817537,158419115.713023,2.399235449
2022-06-01 00:00:00.000,boredapeyachtclub,4610690.12110914,187322920.792577,2.398678927
2022-06-01 00:00:00.000,cryptopunks,32810.935390508,1370832.09173792,2.329246496
2022-06-01 00:00:00.000,clone x,3083946.38577792,65638789.0783169,4.530893023
2022-06-01 00:00:00.000,meebits,23998.604349783,325459843.035273,0.00860038748
2022-06-01 00:00:00.000,wrapped cryptopunks,0,55280.498492548,0
2022-06-01 00:00:00.000,pudgypenguins,186823.068213974,6070528.2007436,3.157347103
2022-05-01 00:00:00.000,mutantapeyachtclub,4932111.39388516,199590895.096235,2.46351498
2022-05-01 00:00:00.000,boredapeyachtclub,5650611.44171085,226266894.382441,2.493218942
2022-05-01 00:00:00.000,pudgypenguins,243481.753173636,7922713.71421229,3.117192878
2022-05-01 00:00:00.000,cryptopunks,37052.431228514,1383624.26776702,2.603169993
2022-05-01 00:00:00.000,azuki,7135710.75108372,143807412.684255,4.956427468
2022-05-01 00:00:00.000,clone x,3845460.57564089,80697433.7303627,4.738987573
2022-05-01 00:00:00.000,meebits,29457.965684294,376600873.846776,0.009990653763
2022-04-01 00:00:00.000,clone x,4348403.37026028,88474198.1105815,4.929018071
2022-04-01 00:00:00.000,azuki,6397407.70953969,129979588.982837,4.923220716
2022-04-01 00:00:00.000,meebits,30789.535290149,486881455.562571,0.006400080811
2022-04-01 00:00:00.000,boredapeyachtclub,6015895.64538935,235956503.353436,2.550767005
2022-04-01 00:00:00.000,mutantapeyachtclub,5299940.58932593,211229935.530038,2.505213477
2022-04-01 00:00:00.000,pudgypenguins,336433.983879049,10995425.5918768,3.055983514
2022-04-01 00:00:00.000,cryptopunks,29628.049670288,1134081.87259268,2.526390284
2022-03-01 00:00:00.000,boredapeyachtclub,5997579.39681584,240703955.8119,2.491682937
2022-03-01 00:00:00.000,mutantapeyachtclub,4084905.32516721,164196028.885688,2.487822241
2022-03-01 00:00:00.000,cryptopunks,41004.365839541,1276477.85498316,3.212305304
2022-03-01 00:00:00.000,clone x,3227879.86213324,64793088.5949748,4.981827433
2022-03-01 00:00:00.000,azuki,5834888.1366109,118157494.427858,4.938229407
2022-03-01 00:00:00.000,meebits,22986.46915215,506794897.865158,0.004535655203
2022-03-01 00:00:00.000,pudgypenguins,69387.655431237,2274096.72939732,3.051218294
﻿
